#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:dna" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:dna" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:dna" name="distribution" x="@birthRate.t:dna">
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.05" name="M" spec="beast.core.parameter.RealParameter">5.5</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="5.0">0.048</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.011" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:dna" name="distribution">
#            <parameter id="ucldStdev.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	rateCategories.1	rateCategories.2	rateCategories.3	rateCategories.4	rateCategories.5	rateCategories.6	rateCategories.7	rateCategories.8	rateCategories.9	rateCategories.10	rateCategories.11	rateCategories.12	rateCategories.13	rateCategories.14	rateCategories.15	rateCategories.16	rateCategories.17	rateCategories.18	rateCategories.19	rateCategories.20	rateCategories.21	rateCategories.22	rateCategories.23	rateCategories.24	rateCategories.25	rateCategories.26	rateCategories.27	rateCategories.28	rateCategories.29	rateCategories.30	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
1000000	16.76979975363308	NaN	16.76979975363308	NaN	0.31160138651286057	11.83111615717665	5.602156608474348	9.197731741643062E-4	1.0674438347671389	0.08290071200320535	0.2805630843062593	80	67	28	75	19	5	92	0	66	37	37	88	69	87	96	58	40	3	62	10	45	78	11	91	79	19	70	98	34	11	0.30745812215284674	0.09895308586951776	0.24266283288976404	0.34349939463988655	0.31488468660083074
1100000	9.892480603395443	NaN	9.892480603395443	NaN	0.41637119856325017	10.345464952840247	5.332280891646735	0.022610720743236265	1.0065146406115892	0.03187994609489284	0.17351914348060146	54	91	58	81	6	41	69	96	31	10	60	54	9	89	99	30	55	62	91	9	10	56	82	65	82	66	69	97	52	24	5.327706737474116	0.4774056617726391	0.15870355899720087	0.05041702054793812	0.31347375868222094
1200000	15.243620090862873	NaN	15.243620090862873	NaN	0.43001321257464264	14.249083540314945	5.251883854197829	0.013937627284126727	1.1693173659259206	0.055905962209594165	0.2188678154959872	93	69	79	1	97	93	0	34	48	71	57	72	84	81	87	85	77	41	71	17	57	96	57	82	86	22	45	18	89	3	1.734285183355625	0.29595355071026463	0.3446723040630273	0.3197201094768456	0.039654035749861566
1300000	18.482033938420727	NaN	18.482033938420727	NaN	0.32163596493241914	16.595716840556356	5.438563000571361	0.023624155318992476	1.022858863384267	0.02236465861773633	0.1514683717172721	34	49	1	25	26	71	40	41	55	14	44	21	33	48	83	45	72	11	21	25	94	64	51	71	80	74	59	56	63	45	11.605070159312135	0.2264240181018198	0.2412059771203852	0.2685234529964471	0.2638465517813471
1400000	18.569200054866293	NaN	18.569200054866293	NaN	0.30407618111834483	15.302199626997973	5.512101613471259	0.04057169155928607	0.9534089792288475	0.05547593193017798	0.23226645336136192	80	13	73	36	65	17	37	21	32	13	9	96	0	49	35	57	38	63	52	39	70	92	41	51	40	43	88	94	80	49	1.6528428477740698	0.18355652413671583	0.13619459682818552	0.3501675939692506	0.3300812850658471
1500000	15.478684033411264	NaN	15.478684033411264	NaN	0.2770313211923206	12.780648153084258	5.386828008841905	0.055700259492987035	0.8927610573289455	0.037057304395410454	0.2066486630603804	64	97	11	88	7	32	29	4	6	30	13	13	9	33	58	7	18	31	33	48	41	42	14	32	75	95	86	1	38	49	0.685825264644291	0.41938391923856383	0.23584786459412843	0.25241745225432355	0.09235076391298305
1600000	12.00536563480065	NaN	12.00536563480065	NaN	0.4791560937632862	11.380134395840525	5.406573250119257	0.05009547894191672	0.9807457938275256	0.03003009861718877	0.1719899245179758	21	74	56	95	86	30	71	4	22	16	43	79	37	84	19	87	93	2	84	95	21	58	74	66	9	22	33	27	31	13	4.369886194437385	0.10074126636282038	0.12160662555999124	0.29331749923436695	0.4843346088428204
1700000	17.72783559794093	NaN	17.72783559794093	NaN	0.2072201698350661	17.271560176289636	5.314757566586436	0.7384496303881556	0.9903740830434744	0.036853310484859625	0.20552591422384472	75	5	20	24	40	82	76	7	85	30	19	23	39	75	15	63	78	78	8	31	9	24	83	91	7	16	72	1	58	79	1.168794662648542	0.15513369089048323	0.29108610768324183	0.20853508714257235	0.3452451142837015
1800000	12.971015809352453	NaN	12.971015809352453	NaN	0.42945864682124685	10.511183738588342	5.155396341303442	0.11214625793376716	1.0318382296065582	0.03591703066681935	0.19202341905287576	57	51	61	37	17	63	81	6	99	32	51	94	29	82	16	27	22	53	34	45	37	58	16	94	11	71	89	60	2	74	0.6256814795345919	0.15785305253305024	0.1953747974038827	0.3579163963471987	0.28885575371586747
1900000	12.226460382379758	NaN	12.226460382379758	NaN	0.47397312256233115	10.907873877098506	5.3376357133461125	0.11398256091150219	0.9129312194724737	0.05225121432101904	0.24199955937102743	75	56	41	31	76	54	96	7	19	20	12	16	9	14	45	77	55	76	44	21	1	87	22	12	63	7	24	14	88	36	3.5004019654273693	0.17696352213477642	0.24581587824558565	0.12737367130005134	0.44984692831958567
